City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,37.42,87,100,26.19,TF,2023-06-29 03:30:34
1,jiwani,25.05,61.7417,85.21,77,88,9.98,PK,2023-06-29 03:30:35
2,cabo san lucas,22.8909,-109.9124,90.7,58,20,9.22,MX,2023-06-29 03:30:35
3,adamstown,-25.066,-130.1015,68.54,60,99,24.02,PN,2023-06-29 03:30:35
4,grytviken,-54.2811,-36.5092,21.76,76,16,8.21,GS,2023-06-29 03:30:35
5,bethel,41.3712,-73.414,71.47,80,100,3.44,US,2023-06-29 03:30:36
6,iqaluit,63.7506,-68.5145,38.93,75,75,9.22,CA,2023-06-29 03:29:27
7,wailua homesteads,22.0669,-159.378,82.83,78,20,17.27,US,2023-06-29 03:30:36
8,avarua,-21.2078,-159.775,80.65,83,13,3.44,CK,2023-06-29 03:30:36
9,tazacorte,28.629,-17.9293,74.37,83,0,14.97,ES,2023-06-29 03:30:37
10,hermanus,-34.4187,19.2345,54.81,83,100,17.56,ZA,2023-06-29 03:28:37
11,cherepanovo,54.2222,83.381,52.21,94,100,17.49,RU,2023-06-29 03:30:37
12,margaret river,-33.95,115.0667,57.09,56,87,3.83,AU,2023-06-29 03:30:37
13,cidreira,-30.1811,-50.2056,54.25,81,47,9.78,BR,2023-06-29 03:30:37
14,port mathurin,-19.6833,63.4167,73.67,71,23,21.0,MU,2023-06-29 03:30:38
15,colonia,50.9333,6.95,67.28,76,0,3.44,DE,2023-06-29 03:28:16
16,inhambane,-23.865,35.3833,68.14,79,0,9.48,MZ,2023-06-29 03:30:38
17,hasaki,35.7333,140.8333,95.29,77,19,14.9,JP,2023-06-29 03:30:38
18,mangrol,21.1167,70.1167,80.31,86,100,14.16,IN,2023-06-29 03:30:39
19,san isidro,-12.1167,-77.05,69.39,81,75,12.66,PE,2023-06-29 03:30:39
20,arraial do cabo,-22.9661,-42.0278,69.55,79,0,5.84,BR,2023-06-29 03:30:39
21,olyokminsk,60.3736,120.4264,86.02,39,93,4.16,RU,2023-06-29 03:30:39
22,broome,42.2506,-75.833,62.98,95,100,5.75,US,2023-06-29 03:30:39
23,otse,-25.0167,25.7333,38.07,41,0,4.14,BW,2023-06-29 03:30:40
24,waitangi,-43.9535,-176.5597,54.82,93,100,3.0,NZ,2023-06-29 03:30:40
25,araci,-11.3333,-38.9667,66.02,98,11,3.71,BR,2023-06-29 03:30:40
26,bonny,4.4522,7.1681,74.21,96,100,5.66,NG,2023-06-29 03:30:40
